year,state,D_partisan_id,R_partisan_id,D_id2p,R_id2p
2000,Alaska,"76,561","116,059",0.397471706,0.602528294
2000,Arizona,"830,904","942,078",0.468647736,0.531352264
2000,California,"7,134,588","5,485,467",0.565337314,0.434662686
2000,Colorado,"854,409","1,014,960",0.457057435,0.542942565
2000,Connecticut,"701,017","485,593",0.590772874,0.409227126
2000,Delaware,"214,515","171,447",0.555793057,0.444206943
2000,District of Columbia,"271,380","26,485",0.91108388,0.08891612
2000,Florida,"3,803,081","3,430,238",0.525772609,0.474227391
2000,Iowa,"567,180","591,717",0.489413641,0.510586359
2000,Kansas,"449,297","734,771",0.379452025,0.620547975
2000,Kentucky,"1,539,562","846,621",0.645198629,0.354801371
2000,Louisiana,"1,668,872","613,107",0.731326625,0.268673375
2000,Maine,"280,987","265,889",0.51380386,0.48619614
2000,Maryland,"1,547,111","805,893",0.65750462,0.34249538
2000,Massachusetts,"1,460,881","546,333",0.72781527,0.27218473
2000,Nebraska,"392,344","537,605",0.421898405,0.578101595
2000,Nevada,"365,593","366,431",0.499427614,0.500572386
2000,New Hampshire,"224,564","302,138",0.426358738,0.573641262
2000,New Jersey,"1,179,577","876,386",0.573734547,0.426265453
2000,New Mexico,"508,414","318,282",0.614995113,0.385004887
2000,New York,"5,243,617","3,171,044",0.623152495,0.376847505
2000,North Carolina,"2,588,137","1,765,476",0.594480263,0.405519737
2000,Oklahoma,"1,233,999","797,949",0.607298514,0.392701486
2000,Oregon,"751,414","679,975",0.524954432,0.475045568
2000,Pennsylvania,"3,736,304","3,250,764",0.534745619,0.465254381
2000,South Dakota,"181,129","226,906",0.443905547,0.556094453
2000,West Virginia,"659,833","309,970",0.680378386,0.319621614
2000,Wyoming,"63,994","133,927",0.323331026,0.676668974
2000,United States,"38,529,264","28,813,511",0.572136566,0.427863434
2004,Alaska,"71,506","118,008",0.377312494,0.622687506
2004,Arizona,"914,264","1,055,252",0.46420745,0.53579255
2004,California,"7,120,425","5,745,518",0.553432034,0.446567966
2004,Colorado,"947,866","1,125,374",0.457190677,0.542809323
2004,Connecticut,"670,356","438,554",0.60451795,0.39548205
2004,Delaware,"242,598","181,875",0.571527518,0.428472482
2004,District of Columbia,"286,084","30,179",0.904576255,0.095423745
2004,Florida,"4,261,249","3,892,492",0.522612749,0.477387251
2004,Iowa,"598,296","604,277",0.497513249,0.502486751
2004,Kansas,"428,728","730,049",0.369983181,0.630016819
2004,Kentucky,"1,614,300","997,525",0.618073569,0.381926431
2004,Louisiana,"1,593,488","678,275",0.701432324,0.298567676
2004,Maine,"297,831","274,727",0.520176122,0.479823878
2004,Maryland,"1,627,217","870,068",0.651594432,0.348405568
2004,Massachusetts,"1,526,711","532,319",0.741470984,0.258529016
2004,Nebraska,"396,767","575,781",0.407966496,0.592033504
2004,Nevada,"429,808","434,239",0.497435903,0.502564097
2004,New Hampshire,"228,766","266,770",0.461653644,0.538346356
2004,New Jersey,"1,163,224","884,801",0.567973535,0.432026465
2004,New Mexico,"550,519","359,563",0.604911426,0.395088574
2004,New York,"5,534,574","3,209,082",0.632981673,0.367018327
2004,North Carolina,"2,583,087","1,905,446",0.575485799,0.424514201
2004,Oklahoma,"1,101,072","816,933",0.574071496,0.425928504
2004,Oregon,"791,412","721,070",0.52325383,0.47674617
2004,Pennsylvania,"3,966,293","3,386,434",0.539431561,0.460568439
2004,Rhode Island,"254,418","68,083",0.788890577,0.211109423
